timestamp,place_name,place_type,place_id,live_popularity
2025-12-30 00:37:08,Pioner,shopping_mall,ChIJf7PiFBFShUQReW-_q6obK_E,0
2025-12-30 00:37:09,Zabota,shopping_mall,ChIJLyJcERFShUQRQkfUyvzE-DA,0
2025-12-30 00:37:09,Alina,shopping_mall,ChIJ6V8YQBFShUQRDUkb3qu-Kio,0
2025-12-30 00:37:10,Sokol,shopping_mall,ChIJf0H5_w9ShUQRLwpmNb20Dl0,0
2025-12-30 00:37:10,"HI,POOH",shopping_mall,ChIJAdKFydoPNEQRtdCur16lip0,0
2025-12-30 00:37:11,Elektron,shopping_mall,ChIJdYPIVNsPNEQRnrCmwF-28Mk,0
2025-12-30 00:37:11,Liga,shopping_mall,ChIJc__ETMMPNEQRb0-2UBVZNBQ,0
2025-12-30 00:37:12,Shou-Tekhnologii,shopping_mall,ChIJJRtIz9APNEQRMu-6XcyAFIk,0
2025-12-30 00:37:13,Taganka,shopping_mall,ChIJndJHRQBShUQRWLrMIEcjyNc,0
2025-12-30 00:37:13,Ekvator,shopping_mall,ChIJ1br5ABRShUQR4eMEZRn95d4,0
2025-12-30 00:37:14,Moisey,shopping_mall,ChIJG3Y8FRRShUQR8eN8nGCHNPg,0
2025-12-30 00:37:14,Aleks,shopping_mall,ChIJS3SoVhFShUQR6_6dSKdvamw,0
2025-12-30 00:37:15,Metro 2,shopping_mall,ChIJr3REbdYPNEQRdCNVpEgxB8I,0
2025-12-30 00:37:15,Modnyy Brend,shopping_mall,ChIJ-UpTkCsQNEQRxbyS9FGos50,0
2025-12-30 00:37:16,Chayka,shopping_mall,ChIJEeZnFBRShUQRzgGInHTLxE8,0
2025-12-30 00:37:17,Dzerzhinskiy,shopping_mall,ChIJJQn1LtcPNEQRtpNG-XrVq2M,0
2025-12-30 00:37:17,Lyumin,shopping_mall,ChIJz5uy39kPNEQRMAURXW8uupQ,0
2025-12-30 00:37:18,"""Al'batros-Dekor""",shopping_mall,ChIJKeUVJF4PNEQRG1ftutWDqLM,0
2025-12-30 00:37:18,"Рюкзаки Dakine,Чемоданы , Дорожные сумки",shopping_mall,ChIJz6lO_yYQNEQRMT-6By4Km1U,0
2025-12-30 00:37:19,Rus',shopping_mall,ChIJi0LNjNAPNEQRCV3MGIlJw4g,0
2025-12-30 00:37:20,Murmansk Mall,shopping_mall,ChIJRYnlq9oPNEQRoTpNgjJRNis,0
2025-12-30 00:37:20,"Murmansk Moll, Okey",shopping_mall,ChIJC4NIHNAPNEQR2KSCXdsvD2w,0
2025-12-30 00:37:21,Kruzhka,food_court,ChIJA8O83eYPNEQRJqoNvwiLFJo,0
2025-12-30 00:37:22,Sushi-Bar Kay,restaurant,ChIJA8O83eYPNEQRbMOcoEwLYvY,0
2025-12-30 00:37:22,Stopka,bar,ChIJA8O83eYPNEQR9G-9fHngD6k,0
2025-12-30 00:37:23,Arktika,restaurant,ChIJd3NMhykQNEQRgPXnJVtRB3Q,0
2025-12-30 00:37:23,Terrasa,restaurant,ChIJTyYZFRRShUQR87Y3VhUUwJY,0
2025-12-30 00:37:24,Cherchill',bar,ChIJIx79iNYPNEQRutPvURV0w1M,0
